,path,corruption,img_id,filename,algo,clipping,timestamp,latent,epsilon,psnr_to_target,lpips_to_target
31,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/18578/corrupted.png,voronoi_noise,18578,corrupted.png,none,none,2024-05-22_19-58,none,,17.138381958007812,0.15597110986709595
32,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/18578/reconstruction/clipped/reconstruction_ddim.png,voronoi_noise,18578,reconstruction_ddim.png,reconstruction,clipped,2024-05-22_19-58,none,,17.023765563964844,0.2527022957801819
33,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/18578/ode/non_clipped/200_0.000316228_0.png,voronoi_noise,18578,200_0.000316228_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,16.435653686523438,0.26102015376091003
34,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/18578/ode/non_clipped/200_0.0001_0.png,voronoi_noise,18578,200_0.0001_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,16.626609802246094,0.2520787715911865
35,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/18578/ode/non_clipped/200_0.001_0.png,voronoi_noise,18578,200_0.001_0.png,ode,clipped,2024-05-22_19-58,200,0.001,16.21187973022461,0.3058358430862427
36,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/24152/original.png,voronoi_noise,24152,original.png,none,none,2024-05-22_19-58,none,,inf,0.0
37,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/24152/corrupted.png,voronoi_noise,24152,corrupted.png,none,none,2024-05-22_19-58,none,,17.685108184814453,0.18744057416915894
38,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/24152/reconstruction/clipped/reconstruction_ddim.png,voronoi_noise,24152,reconstruction_ddim.png,reconstruction,clipped,2024-05-22_19-58,none,,18.999462127685547,0.1370726078748703
39,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/24152/ode/non_clipped/200_0.000316228_0.png,voronoi_noise,24152,200_0.000316228_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,17.263641357421875,0.2909061312675476
40,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/24152/ode/non_clipped/200_0.0001_0.png,voronoi_noise,24152,200_0.0001_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,17.31926918029785,0.3017350137233734
41,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/24152/ode/non_clipped/200_0.001_0.png,voronoi_noise,24152,200_0.001_0.png,ode,clipped,2024-05-22_19-58,200,0.001,16.961166381835938,0.31153127551078796
42,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/9074/original.png,voronoi_noise,9074,original.png,none,none,2024-05-22_19-58,none,,inf,0.0
43,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/9074/corrupted.png,voronoi_noise,9074,corrupted.png,none,none,2024-05-22_19-58,none,,18.98194694519043,0.22542934119701385
